 90  6.12d-2   1.23d-3   0.00000   2.09d-3   4.21d-4   2.20d-3  
 95  6.74d-2   1.40d-3   4.52d-6   4.72d-3   6.72d-4   2.32d-3  
100  7.37d-2   1.59d-3   4.98d-5   1.11d-2   1.13d-3   2.46d-3  
105  7.95d-2   1.78d-3   1.73d-4   2.43d-2   2.15d-3   2.62d-3  
110  8.44d-2   1.97d-3   3.95d-4   4.82d-2   4.39d-3   2.82d-3  
115  8.76d-2   2.13d-3   7.16d-4   8.67d-2   8.73d-3   3.09d-3  
120  8.82d-2   2.25d-3   1.12d-3   1.43d-1   1.60d-2   3.47d-3  
125  8.56d-2   2.30d-3   1.55d-3   2.16d-1   2.67d-2   4.03d-3  
130  7.96d-2   2.26d-3   1.96d-3   3.05d-1   4.02d-2   4.87d-3  
135  7.06d-2   2.14d-3   2.28d-3   4.03d-1   5.51d-2   6.14d-3  
140  5.94d-2   1.94d-3   2.47d-3   5.04d-1   6.92d-2   8.12d-3  
145  4.70d-2   1.68d-3   2.49d-3   6.03d-1   7.96d-2   1.14d-2  
150  3.43d-2   1.37d-3   2.32d-3   6.99d-1   8.28d-2   1.73d-2  
155  2.16d-2   1.00d-3   1.91d-3   7.96d-1   7.36d-2   3.02d-2  
160  8.57d-3   5.33d-4   1.15d-3   9.09d-1   4.16d-2   8.29d-2  
165  3.11d-3   2.30d-4   5.45d-4   9.60d-1   2.22d-2   2.46d-1  
170  2.18d-3   1.58d-4   4.00d-4   9.65d-1   2.36d-2   3.80d-1  
175  1.80d-3   1.23d-4   3.38d-4   9.58d-1   3.23d-2   5.00d-1  
180  1.54d-3   1.02d-4   2.96d-4   9.32d-1   6.02d-2   6.31d-1  
185  1.26d-3   8.09d-5   2.44d-4   8.44d-1   1.50d-1   8.32d-1  
190  1.08d-3   6.74d-5   2.11d-4   7.86d-1   2.09d-1   1.04 
195  9.84d-4   5.89d-5   1.91d-4   7.57d-1   2.39d-1   1.24 
200  9.16d-4   5.26d-5   1.75d-4   7.41d-1   2.56d-1   1.43 
210  8.27d-4   4.34d-5   1.52d-4   7.23d-1   2.74d-1   1.85 
220  7.69d-4   3.67d-5   1.34d-4   7.14d-1   2.84d-1   2.31 
230  7.27d-4   3.14d-5   1.19d-4   7.08d-1   2.89d-1   2.82 
240  6.97d-4   2.72d-5   1.07d-4   7.04d-1   2.94d-1   3.40 
250  6.75d-4   2.37d-5   9.54d-5   7.01d-1   2.97d-1   4.04 
260  6.59d-4   2.08d-5   8.57d-5   6.99d-1   2.99d-1   4.76 
270  6.48d-4   1.84d-5   7.72d-5   6.97d-1   3.02d-1   5.55 
280  6.42d-4   1.63d-5   6.98d-5   6.95d-1   3.04d-1   6.43 
290  6.42d-4   1.45d-5   6.32d-5   6.93d-1   3.05d-1   7.39 
300  6.46d-4   1.30d-5   5.75d-5   6.92d-1   3.07d-1   8.43 
310  6.56d-4   1.17d-5   5.24d-5   6.90d-1   3.08d-1   9.57 
320  6.73d-4   1.05d-5   4.79d-5   6.89d-1   3.09d-1   10.8 
330  6.99d-4   9.56d-6   4.39d-5   6.88d-1   3.10d-1   12.1 
340  7.42d-4   8.73d-6   4.04d-5   6.87d-1   3.11d-1   13.5 
350  8.05d-4   7.62d-6   3.65d-5   6.76d-1   3.07d-1   15.2 
360  8.42d-4   6.10d-6   3.17d-5   6.51d-1   2.97d-1   17.6 
370  8.54d-4   4.85d-6   2.76d-5   6.28d-1   2.87d-1   20.2 
380  8.51d-4   3.86d-6   2.42d-5   6.09d-1   2.79d-1   23.1 
390  8.40d-4   3.09d-6   2.14d-5   5.94d-1   2.73d-1   26.1 
400  8.22d-4   2.47d-6   1.90d-5   5.82d-1   2.69d-1   29.2 
410  8.02d-4   1.98d-6   1.70d-5   5.72d-1   2.65d-1   32.5 
420  7.80d-4   1.60d-6   1.53d-5   5.64d-1   2.63d-1   35.9 
430  7.56d-4   1.28d-6   1.38d-5   5.59d-1   2.61d-1   39.4 
440  7.33d-4   1.03d-6   1.26d-5   5.54d-1   2.60d-1   43.1 
450  7.09d-4   8.27d-7   1.15d-5   5.51d-1   2.59d-1   46.9 
460  6.85d-4   6.62d-7   1.05d-5   5.49d-1   2.59d-1   50.8 
470  6.62d-4   5.29d-7   9.64d-6   5.47d-1   2.59d-1   54.9 
480  6.39d-4   4.21d-7   8.87d-6   5.46d-1   2.59d-1   59.1 
490  6.17d-4   3.34d-7   8.19d-6   5.46d-1   2.60d-1   63.5 
