########################################################################
# Reference Counts for Solar Model AGSS09met                           #
# Column 1: log10(Axion mass in eV)                                   #
#        n>1: Reference photon counts in energy bin n-1                #
########################################################################
-3.0000000e+00 -4.8224578e-01 -2.2608003e-01 -5.7784427e-02 4.1418199e-02 5.0031771e-02 -8.2725327e-02 -3.1486254e-02 -4.0818684e-04 6.6362093e-03 7.7592430e-03 -3.1677334e-03 -2.6241190e-02 -6.0578051e-02 -1.0228471e-01 -1.5311811e-01 -2.1002774e-01 -2.7193496e-01 -3.4214901e-01 -4.2052938e-01 -5.0750033e-01
-2.8000000e+00 -4.8236135e-01 -2.2614744e-01 -5.7828423e-02 4.1387200e-02 5.0008585e-02 -8.2742916e-02 -3.1500280e-02 -4.1958063e-04 6.6267657e-03 7.7512883e-03 -3.1745267e-03 -2.6247060e-02 -6.0583171e-02 -1.0228922e-01 -1.5312211e-01 -2.1003131e-01 -2.7193816e-01 -3.4215191e-01 -4.2053200e-01 -5.0750272e-01
-2.6000000e+00 -4.8309065e-01 -2.2657281e-01 -5.8106039e-02 4.1191601e-02 4.9862281e-02 -8.2853895e-02 -3.1588782e-02 -4.9147197e-04 6.5671795e-03 7.7010970e-03 -3.2173900e-03 -2.6284092e-02 -6.0615481e-02 -1.0231766e-01 -1.5314733e-01 -2.1005382e-01 -2.7195839e-01 -3.4217018e-01 -4.2054859e-01 -5.0751785e-01
-2.4000000e+00 -4.8769711e-01 -2.2925849e-01 -5.9858452e-02 3.9957065e-02 4.8938946e-02 -8.3554253e-02 -3.2147270e-02 -9.4512983e-04 6.1911785e-03 7.3843849e-03 -3.4878583e-03 -2.6517764e-02 -6.0819350e-02 -1.0249708e-01 -1.5330646e-01 -2.1019590e-01 -2.7208603e-01 -3.4228548e-01 -4.2065326e-01 -5.0761329e-01
-2.2000000e+00 -5.1695944e-01 -2.4627520e-01 -7.0946571e-02 3.2151993e-02 4.3104230e-02 -8.7978335e-02 -3.5674356e-02 -3.8096781e-03 3.8172859e-03 5.3850100e-03 -5.1951694e-03 -2.7992711e-02 -6.2106114e-02 -1.0362950e-01 -1.5431077e-01 -2.1109256e-01 -2.7289155e-01 -3.4301313e-01 -4.2131381e-01 -5.0821559e-01
-2.1500000e+00 -5.3750339e-01 -2.5817607e-01 -7.8685328e-02 2.6711028e-02 3.9039746e-02 -9.1058521e-02 -3.8129193e-02 -5.8028888e-03 2.1657931e-03 3.9942653e-03 -6.3826241e-03 -2.9018462e-02 -6.3000929e-02 -1.0441693e-01 -1.5500909e-01 -2.1171600e-01 -2.7345161e-01 -3.4351903e-01 -4.2177304e-01 -5.0863432e-01
-2.1000000e+00 -5.7041926e-01 -2.7716340e-01 -9.1004802e-02 1.8060485e-02 3.2582649e-02 -9.5949106e-02 -4.2025463e-02 -8.9656276e-03 -4.5419930e-04 1.7882710e-03 -8.2659357e-03 -3.0645155e-02 -6.4419867e-02 -1.0566552e-01 -1.5611632e-01 -2.1270445e-01 -2.7433953e-01 -3.4432106e-01 -4.2250106e-01 -5.0929812e-01
-2.0500000e+00 -6.2351956e-01 -3.0758020e-01 -1.1066874e-01 4.2811674e-03 2.2310006e-02 -1.0372246e-01 -4.8214823e-02 -1.3987598e-02 -4.6130434e-03 -1.7125615e-03 -1.1254115e-02 -3.3225778e-02 -6.6670626e-02 -1.0764585e-01 -1.5787230e-01 -2.1427196e-01 -2.7574754e-01 -3.4559281e-01 -4.2365541e-01 -5.1035059e-01
-2.0000000e+00 -7.1018484e-01 -3.5663516e-01 -1.4219236e-01 -1.7734565e-02 5.9300093e-03 -1.1609904e-01 -5.8060244e-02 -2.1970579e-02 -1.1220628e-02 -7.2725354e-03 -1.5998462e-02 -3.7322057e-02 -7.0242607e-02 -1.1078817e-01 -1.6065826e-01 -2.1675860e-01 -2.7798094e-01 -3.4760991e-01 -4.2548618e-01 -5.1201968e-01
-1.9500000e+00 -8.5459418e-01 -4.3665845e-01 -1.9309432e-01 -5.3085562e-02 -2.0284868e-02 -1.3585933e-01 -7.3755732e-02 -3.4682943e-02 -2.1734172e-02 -1.6113686e-02 -2.3538995e-02 -4.3830062e-02 -7.5915859e-02 -1.1577773e-01 -1.6508102e-01 -2.2070551e-01 -2.8152536e-01 -3.5081064e-01 -4.2839092e-01 -5.1466765e-01
-1.9000000e+00 -1.1049818e+00 -5.6988068e-01 -2.7630585e-01 -1.1032339e-01 -6.2495615e-02 -1.6755115e-01 -9.8881928e-02 -5.4984610e-02 -3.8502120e-02 -3.0200195e-02 -3.5543878e-02 -5.4184705e-02 -8.4937850e-02 -1.2370922e-01 -1.7210914e-01 -2.2697568e-01 -2.8715476e-01 -3.5589315e-01 -4.3300259e-01 -5.1887101e-01
