########################################################################
# Reference Counts for Solar Model AGSS09ph                            #
# Column 1: log10(Axion mass in eV)                                    #
#        n>1: Reference photon counts in energy bin n-1                #
########################################################################
-1.8400000e+00 -1.7191159e+00 -8.6211429e-01 -4.4971373e-01 -2.2576125e-01 -1.4537428e-01 -2.2795087e-01 -1.4529925e-01 -9.1174823e-02 -6.7127638e-02 -5.3038237e-02 -5.3821452e-02 -6.8783308e-02 -9.6502383e-02 -1.3272977e-01 -1.7896284e-01 -2.3195446e-01 -2.9049335e-01 -3.5777937e-01 -4.3358838e-01 -5.1828027e-01
-1.8325000e+00 -1.8443690e+00 -9.1669781e-01 -4.8114001e-01 -2.4656064e-01 -1.6039494e-01 -2.3906673e-01 -1.5403020e-01 -9.8189510e-02 -7.2894959e-02 -5.7866665e-02 -5.7925480e-02 -7.2315793e-02 -9.9575067e-02 -1.3542736e-01 -1.8135048e-01 -2.3408258e-01 -2.9240246e-01 -3.5950184e-01 -4.3515037e-01 -5.1970324e-01
-1.8250000e+00 -1.9863163e+00 -9.7702559e-01 -5.1538628e-01 -2.6908884e-01 -1.7661319e-01 -2.5104386e-01 -1.6342604e-01 -1.0573182e-01 -7.9092193e-02 -6.3052593e-02 -6.2331792e-02 -7.6107397e-02 -1.0287240e-01 -1.3832164e-01 -1.8391182e-01 -2.3636524e-01 -2.9445000e-01 -3.6134903e-01 -4.3682533e-01 -5.2122903e-01
-1.8175000e+00 -2.1457455e+00 -1.0439624e+00 -5.5277120e-01 -2.9351399e-01 -1.9413615e-01 -2.6395494e-01 -1.7354093e-01 -1.1384364e-01 -8.5752839e-02 -6.8623488e-02 -6.7063365e-02 -8.0177651e-02 -1.0641120e-01 -1.4142725e-01 -1.8665974e-01 -2.3881385e-01 -2.9664613e-01 -3.6333009e-01 -4.3862153e-01 -5.2286514e-01
-1.8100000e+00 -2.3185283e+00 -1.1185718e+00 -5.9366404e-01 -3.2002539e-01 -2.1308263e-01 -2.7787978e-01 -1.8443401e-01 -1.2257053e-01 -9.2913239e-02 -7.4609090e-02 -7.2145036e-02 -8.4547637e-02 -1.1020959e-01 -1.4475998e-01 -1.8960810e-01 -2.4144068e-01 -2.9900183e-01 -3.6545486e-01 -4.4054785e-01 -5.2461964e-01
-1.8025000e+00 -2.4861973e+00 -1.2021812e+00 -6.3849630e-01 -3.4883723e-01 -2.3358487e-01 -2.9290629e-01 -1.9616997e-01 -1.3196214e-01 -1.0061286e-01 -8.1041619e-02 -7.7603667e-02 -8.9240128e-02 -1.1428716e-01 -1.4833683e-01 -1.9277183e-01 -2.4425894e-01 -3.0152886e-01 -3.6773392e-01 -4.4261385e-01 -5.2650120e-01
-1.7950000e+00 -2.6028993e+00 -1.2964710e+00 -6.8777689e-01 -3.8019314e-01 -2.5579053e-01 -3.0913143e-01 -2.0881974e-01 -1.4207261e-01 -1.0889461e-01 -8.7956020e-02 -8.3468337e-02 -9.4279739e-02 -1.1866501e-01 -1.5217615e-01 -1.9616703e-01 -2.4728289e-01 -3.0423994e-01 -3.7017866e-01 -4.4482982e-01 -5.2851916e-01
-1.7875000e+00 -2.6143037e+00 -1.4035989e+00 -7.4211238e-01 -4.1437187e-01 -2.7986517e-01 -3.2666253e-01 -2.2246120e-01 -1.5296108e-01 -1.1780518e-01 -9.5390222e-02 -8.9770543e-02 -9.9693090e-02 -1.2336599e-01 -1.5629774e-01 -1.9981104e-01 -2.5052785e-01 -3.0714872e-01 -3.7280134e-01 -4.4720681e-01 -5.3068355e-01
-1.7800000e+00 -2.5256261e+00 -1.5263593e+00 -8.0223448e-01 -4.5169455e-01 -3.0599515e-01 -3.4561865e-01 -2.3718004e-01 -1.6469228e-01 -1.2739547e-01 -1.0338544e-01 -9.6544437e-02 -1.0550900e-01 -1.2841474e-01 -1.6072296e-01 -2.0372258e-01 -2.5401036e-01 -3.1026991e-01 -3.7561515e-01 -4.4975673e-01 -5.3300515e-01
-1.7725000e+00 -2.3942591e+00 -1.6683480e+00 -8.6903791e-01 -4.9253387e-01 -3.3439133e-01 -3.6613231e-01 -2.5307078e-01 -1.7733715e-01 -1.3772103e-01 -1.1198651e-01 -1.0382708e-01 -1.1175866e-01 -1.3383794e-01 -1.6547491e-01 -2.0792185e-01 -2.5774825e-01 -3.1361940e-01 -3.7863432e-01 -4.5249238e-01 -5.3549558e-01
