#  Hindmarsh-Philipsen equation of state C
#  rho=g*(pi^2/30)*T^4    s=gS*(2*pi^2/45)*T^3    p=gP*(pi^2/90)*T^4
#  T[GeV]             sqrt(gstar)             gS
      2.8183830e+01   9.6609850e+00   8.7952962e+01   
      2.6607250e+01   9.6210597e+00   8.7457249e+01   
      2.5118860e+01   9.5817732e+00   8.6990032e+01   
      2.3713740e+01   9.5434075e+00   8.6551998e+01   
      2.2387210e+01   9.5062137e+00   8.6143431e+01   
      2.1134890e+01   9.4703972e+00   8.5764282e+01   
      1.9952620e+01   9.4360363e+00   8.5414362e+01   
      1.8836490e+01   9.4032915e+00   8.5093172e+01   
      1.7782790e+01   9.3722749e+00   8.4799972e+01   
      1.6788040e+01   9.3429512e+00   8.4534019e+01   
      1.5848930e+01   9.3154881e+00   8.4294193e+01   
      1.4962350e+01   9.2898788e+00   8.4079310e+01   
      1.4125410e+01   9.2662563e+00   8.3887831e+01   
      1.3335210e+01   9.2446471e+00   8.3718001e+01   
      1.2589250e+01   9.2251867e+00   8.3567711e+01   
      1.1885020e+01   9.2077453e+00   8.3434871e+01   
      1.1220180e+01   9.1925555e+00   8.3316796e+01   
      1.0592540e+01   9.1792558e+00   8.3211234e+01   
      1.0000000e+01   9.1635710e+00   8.3123057e+01   
      8.9125090e+00   9.1508479e+00   8.2951001e+01   
      7.9432870e+00   9.1381045e+00   8.2788539e+01   
      7.0794640e+00   9.1293390e+00   8.2619824e+01   
      6.3095760e+00   9.1229174e+00   8.2432357e+01   
      5.6234130e+00   9.1175343e+00   8.2216327e+01   
      5.0118720e+00   9.1123457e+00   8.1963137e+01   
      4.4668390e+00   9.1067508e+00   8.1664694e+01   
      3.9810720e+00   9.1004483e+00   8.1312367e+01   
      3.5481360e+00   9.0931767e+00   8.0896737e+01   
      3.1622780e+00   9.0845539e+00   8.0408044e+01   
      2.8183830e+00   9.0744354e+00   7.9834986e+01   
      2.5118880e+00   9.0684549e+00   7.9144710e+01   
      2.3713770e+00   9.0685123e+00   7.8773561e+01   
      2.2387220e+00   9.0609446e+00   7.8376336e+01   
      2.1134890e+00   9.0523139e+00   7.7952494e+01   
      1.9952630e+00   9.0424679e+00   7.7501722e+01   
      1.8836500e+00   9.0330227e+00   7.7020580e+01   
      1.7782790e+00   9.0163012e+00   7.6519511e+01   
      1.6788060e+00   9.0039735e+00   7.5988981e+01   
      1.5848930e+00   8.9875740e+00   7.5433315e+01   
      1.4962360e+00   8.9691961e+00   7.4853739e+01   
      1.4125380e+00   8.9486116e+00   7.4251892e+01   
      1.3335210e+00   8.9257608e+00   7.3629640e+01   
      1.2589270e+00   8.9006119e+00   7.2989060e+01   
      1.1885020e+00   8.8731313e+00   7.2332302e+01   
      1.1220190e+00   8.8433698e+00   7.1661686e+01   
      1.0592540e+00   8.8114807e+00   7.0979283e+01   
      1.0000000e+00   8.7776092e+00   7.0287071e+01   
      9.4406170e-01   8.7419644e+00   6.9586776e+01   
      8.9125100e-01   8.7048551e+00   6.8879621e+01   
      8.4139550e-01   8.7777346e+00   6.7992961e+01   
      7.9432840e-01   8.5079858e+00   6.7451707e+01   
      7.4989420e-01   8.5258772e+00   6.6826467e+01   
      7.0794590e-01   8.4950874e+00   6.6187167e+01   
      6.6834440e-01   8.4617171e+00   6.5535658e+01   
      6.3095770e-01   8.4303509e+00   6.4866363e+01   
      5.9566230e-01   8.4033221e+00   6.4169502e+01   
      5.6234130e-01   8.3788174e+00   6.3437335e+01   
      5.3088460e-01   8.3542320e+00   6.2665595e+01   
      5.0118720e-01   8.3307348e+00   6.1847873e+01   
      4.7315170e-01   8.3114791e+00   6.0972474e+01   
      4.4668370e-01   8.2886939e+00   6.0038476e+01   
      4.2169650e-01   8.2533637e+00   5.9058274e+01   
      3.9810730e-01   8.2016862e+00   5.8049879e+01   
      3.7583740e-01   8.1442524e+00   5.7015997e+01   
      3.5481350e-01   8.1032643e+00   5.5926431e+01   
      3.3496570e-01   8.0729791e+00   5.4757283e+01   
      3.1622790e-01   8.0491003e+00   5.3489407e+01   
      2.9853830e-01   8.0299703e+00   5.2104822e+01   
      2.8183830e-01   8.0019785e+00   5.0603344e+01   
      2.6607250e-01   7.9481873e+00   4.9007314e+01   
      2.5118870e-01   7.8839243e+00   4.7317736e+01   
      2.3713760e-01   7.8231077e+00   4.5515967e+01   
      2.2387220e-01   7.7579453e+00   4.3592441e+01   
      2.1134890e-01   7.9200400e+00   4.1238869e+01   
      1.9952620e-01   9.0654646e+00   3.7566837e+01   
      1.8836490e-01   9.7657070e+00   3.3028461e+01   
      1.7782790e-01   8.8498073e+00   2.9394383e+01   
      1.6788060e-01   8.0276569e+00   2.6509647e+01   
      1.5848930e-01   7.3058464e+00   2.4235613e+01   
      1.4962360e-01   6.6888851e+00   2.2449517e+01   
      1.4125380e-01   6.1701977e+00   2.1049566e+01   
      1.3335210e-01   5.7422660e+00   1.9951667e+01   
      1.2589250e-01   5.3973782e+00   1.9085144e+01   
      1.1885020e-01   5.1184640e+00   1.8397876e+01   
      1.1220180e-01   4.8982900e+00   1.7845716e+01   
      1.0592530e-01   4.7243422e+00   1.7395571e+01   
      1.0000000e-01   4.5866109e+00   1.7022292e+01   
      9.4406090e-02   4.4797148e+00   1.6704752e+01   
      8.9125100e-02   4.3948873e+00   1.6428269e+01   
      8.4139500e-02   4.3269693e+00   1.6181649e+01   
      7.9432820e-02   4.2737974e+00   1.5954944e+01   
      7.4989420e-02   4.2294088e+00   1.5742416e+01
      7.0794580e-02   4.1939581e+00   1.5537868e+01   
      6.6834400e-02   4.1640965e+00   1.5337374e+01   
      6.3095730e-02   4.1386422e+00   1.5137692e+01   
      5.9566210e-02   4.1157830e+00   1.4936817e+01   
      5.6234130e-02   4.0949194e+00   1.4733085e+01   
      5.3088450e-02   4.0748942e+00   1.4525633e+01   
      5.0118730e-02   4.0553166e+00   1.4313861e+01   
      4.7315120e-02   4.0351244e+00   1.4097951e+01   
      4.4668360e-02   4.0139691e+00   1.3878373e+01   
      4.2169650e-02   3.9913874e+00   1.3655981e+01   
      3.9810720e-02   3.9670096e+00   1.3431961e+01   
      3.5481330e-02   3.9029515e+00   1.2985310e+01   
      3.1622770e-02   3.8413160e+00   1.2552621e+01   
      2.8183830e-02   3.7713046e+00   1.2149471e+01   
      2.5118860e-02   3.6949131e+00   1.1790224e+01   
      2.2387210e-02   3.6156234e+00   1.1485851e+01   
      1.9952620e-02   3.5380396e+00   1.1242151e+01   
      1.7782790e-02   3.4670696e+00   1.1058913e+01   
      1.5848930e-02   3.4067725e+00   1.0930423e+01   
      1.4125380e-02   3.3595096e+00   1.0847058e+01   
      1.2589250e-02   3.3255870e+00   1.0797419e+01   
      1.1220180e-02   3.3034374e+00   1.0770554e+01   
      1.0000000e-02   3.2904195e+00   1.0757447e+01   
      8.9125100e-03   3.2836248e+00   1.0751654e+01   
      7.9432840e-03   3.2804689e+00   1.0749289e+01   
      7.0794560e-03   3.2792286e+00   1.0748220e+01   
      6.3095730e-03   3.2787837e+00   1.0747540e+01   
      5.6234130e-03   3.2786431e+00   1.0746868e+01   
      5.0118730e-03   3.2785989e+00   1.0746052e+01   
      4.4668370e-03   3.2785636e+00   1.0745029e+01   
      3.9810710e-03   3.2785233e+00   1.0743744e+01   
      3.5481330e-03   3.2784735e+00   1.0742126e+01   
      3.1622780e-03   3.2792589e+00   1.0738933e+01   
      2.8183830e-03   3.2794094e+00   1.0734744e+01   
      2.5118870e-03   3.2794556e+00   1.0729474e+01   
      2.2387210e-03   3.2795134e+00   1.0722848e+01   
      1.9952620e-03   3.2796120e+00   1.0714485e+01   
      1.7782790e-03   3.2811717e+00   1.0701986e+01   
      1.5848930e-03   3.2814407e+00   1.0686338e+01   
      1.4125380e-03   3.2818414e+00   1.0666670e+01   
      1.2589250e-03   3.2823112e+00   1.0642021e+01   
      1.1220180e-03   3.2828964e+00   1.0611168e+01   
      1.0000000e-03   3.2836005e+00   1.0572654e+01   
      8.9125100e-04   3.2845421e+00   1.0524560e+01   
      7.9432840e-04   3.2872010e+00   1.0462275e+01   
      7.0794560e-04   3.2849621e+00   1.0390400e+01   
      6.3095720e-04   3.2886036e+00   1.0298563e+01   
      5.6234130e-04   3.2905121e+00   1.0185448e+01   
      5.0118730e-04   3.2925998e+00   1.0046958e+01   
      4.4668370e-04   3.2948230e+00   9.8785019e+00   
      3.9810710e-04   3.2969224e+00   9.6753025e+00   
      3.5481340e-04   3.2984463e+00   9.4327379e+00   
      3.1622780e-04   3.2988388e+00   9.1465990e+00   
      2.8183830e-04   3.2969476e+00   8.8140501e+00   
      2.5118870e-04   3.2912652e+00   8.4343154e+00   
      2.2387210e-04   3.2796717e+00   8.0096340e+00   
      1.9952620e-04   3.2593914e+00   7.5461607e+00   
      1.7782790e-04   3.2270833e+00   7.0545189e+00   
      1.5848930e-04   3.1790863e+00   6.5498021e+00   
      1.4125380e-04   3.1119865e+00   6.0507196e+00   
      1.2589250e-04   3.0235340e+00   5.5777905e+00   
      1.1220180e-04   2.9139232e+00   5.1507131e+00   
      1.0000000e-04   2.7868079e+00   4.7855414e+00   
      8.9125050e-05   2.6503540e+00   4.4917960e+00   
      7.9432840e-05   2.5157694e+00   4.2712280e+00   
      7.0794570e-05   2.3948909e+00   4.1180286e+00   
      6.3095770e-05   2.2971517e+00   4.0204110e+00   
      5.6234130e-05   2.2261157e+00   3.9640760e+00   
      5.0118700e-05   2.1803450e+00   3.9349146e+00   
      4.4668370e-05   2.1542475e+00   3.9215840e+00   
      3.9810710e-05   2.1412689e+00   3.9162825e+00   
      3.5481350e-05   2.1357067e+00   3.9144819e+00   
      3.1622780e-05   2.1337276e+00   3.9139402e+00   
      2.8183820e-05   2.1330298e+00   3.9138561e+00   
      2.5118870e-05   2.1329256e+00   3.9138397e+00   
      2.2387210e-05   2.1329045e+00   3.9138372e+00   
      1.9952630e-05   2.1329012e+00   3.9138369e+00   
      0.0000000e+00   2.1329008e+00   3.9138369e+00   
