# Made with DarkSUSY version ds-4.00-pre3                                      
#..log(deltav). ...table(i)...
 0.54614440E+01 0.19468183E-03
 0.54686396E+01 0.18149298E-03
 0.54758352E+01 0.16911508E-03
 0.54830308E+01 0.15750395E-03
 0.54902263E+01 0.14661747E-03
 0.54974219E+01 0.13641549E-03
 0.55046175E+01 0.12685974E-03
 0.55118131E+01 0.11791381E-03
 0.55190086E+01 0.10954365E-03
 0.55262042E+01 0.10171500E-03
 0.56413335E+01 0.28882082E-04
 0.57564627E+01 0.70764814E-05
 0.58715920E+01 0.14703574E-05
 0.59867212E+01 0.25408526E-06
 0.61018505E+01 0.35724703E-07
 0.62169798E+01 0.39874123E-08
