#  Hindmarsh-Philipsen equation of state B3
#  rho=g*(pi^2/30)*T^4    s=gS*(2*pi^2/45)*T^3    p=gP*(pi^2/90)*T^4
#  T[GeV]             sqrt(gstar)             gS
      1.2589250e+04   1.0244546e+01   1.0490951e+02   
      1.1885040e+04   1.0244223e+01   1.0490555e+02   
      1.1220190e+04   1.0244035e+01   1.0490158e+02   
      1.0592560e+04   1.0243847e+01   1.0489759e+02   
      1.0000000e+04   1.0243658e+01   1.0489358e+02   
      9.4406060e+03   1.0243469e+01   1.0488956e+02   
      8.9125300e+03   1.0243279e+01   1.0488553e+02   
      8.4139500e+03   1.0243088e+01   1.0488147e+02   
      7.9432840e+03   1.0242897e+01   1.0487740e+02   
      7.4989420e+03   1.0242706e+01   1.0487332e+02   
      7.0794570e+03   1.0242514e+01   1.0486921e+02   
      6.6834550e+03   1.0242321e+01   1.0486508e+02   
      6.3095860e+03   1.0242128e+01   1.0486093e+02   
      5.9566360e+03   1.0241935e+01   1.0485675e+02   
      5.6234260e+03   1.0241740e+01   1.0485255e+02   
      5.3088430e+03   1.0241546e+01   1.0484832e+02   
      5.0118730e+03   1.0241350e+01   1.0484407e+02   
      4.7315120e+03   1.0241155e+01   1.0483978e+02   
      4.4668370e+03   1.0240958e+01   1.0483545e+02   
      4.2169650e+03   1.0240763e+01   1.0483108e+02   
      3.9810710e+03   1.0240564e+01   1.0482668e+02   
      3.7583750e+03   1.0240365e+01   1.0482223e+02   
      3.5481410e+03   1.0240167e+01   1.0481772e+02   
      3.3496630e+03   1.0239967e+01   1.0481316e+02   
      3.1622850e+03   1.0239767e+01   1.0480854e+02   
      2.9853820e+03   1.0239566e+01   1.0480385e+02   
      2.8183960e+03   1.0239364e+01   1.0479908e+02   
      2.6607250e+03   1.0239162e+01   1.0479423e+02   
      2.5118870e+03   1.0238959e+01   1.0478928e+02   
      2.3713740e+03   1.0238755e+01   1.0478423e+02   
      2.2387210e+03   1.0238550e+01   1.0477906e+02   
      2.1134890e+03   1.0238344e+01   1.0477376e+02   
      1.9952620e+03   1.0238137e+01   1.0476832e+02   
      1.8836500e+03   1.0237929e+01   1.0476271e+02   
      1.7782790e+03   1.0237720e+01   1.0475692e+02   
      1.6788080e+03   1.0237510e+01   1.0475093e+02   
      1.5848930e+03   1.0237298e+01   1.0474471e+02   
      1.4962350e+03   1.0237085e+01   1.0473824e+02   
      1.4125380e+03   1.0236870e+01   1.0473149e+02   
      1.3335210e+03   1.0236654e+01   1.0472442e+02   
      1.2589290e+03   1.0236437e+01   1.0471699e+02   
      1.1885020e+03   1.0236218e+01   1.0470917e+02   
      1.1220180e+03   1.0235999e+01   1.0470089e+02   
      1.0592540e+03   1.0235769e+01   1.0469212e+02   
      1.0000000e+03   1.0235541e+01   1.0468279e+02   
      9.4406070e+02   1.0235309e+01   1.0467285e+02   
      8.9125300e+02   1.0235093e+01   1.0466216e+02   
      8.4139690e+02   1.0234831e+01   1.0465073e+02   
      7.9432840e+02   1.0234621e+01   1.0463835e+02   
      7.4989420e+02   1.0234321e+01   1.0462509e+02   
      7.0794560e+02   1.0234077e+01   1.0461069e+02   
      6.6834400e+02   1.0233814e+01   1.0459507e+02   
      6.3095730e+02   1.0233545e+01   1.0457809e+02   
      5.9566230e+02   1.0233224e+01   1.0455967e+02   
      5.6234130e+02   1.0232972e+01   1.0453950e+02   
      5.3088430e+02   1.0232613e+01   1.0451758e+02   
      5.0118730e+02   1.0232417e+01   1.0449335e+02   
      4.7315230e+02   1.0232119e+01   1.0446672e+02   
      4.4668470e+02   1.0231785e+01   1.0443745e+02   
      4.2169650e+02   1.0231469e+01   1.0440519e+02   
      3.9810710e+02   1.0231124e+01   1.0436962e+02   
      3.7583910e+02   1.0230764e+01   1.0433036e+02   
      3.5481340e+02   1.0230354e+01   1.0428706e+02   
      3.3496550e+02   1.0230020e+01   1.0423914e+02   
      3.1622780e+02   1.0229571e+01   1.0418615e+02   
      2.9853820e+02   1.0229125e+01   1.0412752e+02   
      2.8183830e+02   1.0230153e+01   1.0405934e+02   
      2.6607250e+02   1.0228099e+01   1.0398713e+02   
